Id,Producto,Unidad,Cantidad,Precio,Clientes,Pzs
1071,Berros rollo,rollo,6,25,"AdrianaG,ClaudiaGuichard,Gabi,Mariana,Angela,Raquel",0
1072,Mostaza rollo,rollo,1,25,Angela,0
1074,Lechuga roja (unstock),pz,1,25,Evelyne,0
1075,Lechuga,pz,7,20,"Emma,Pablo,Mariana",0
1076,Rabano rollo de 10 piezas,rollo,1,15,sandra,0
1077,Espinaca rollo,rollo,7.0,20,"Emma,michell,AdrianaG,ClaudiaGuichard,Ursula,Raquel",0.0
1078,Acelga rollo,rollo,3.0,25,"Evelyne,AdrianaG,Raquel",0.0
1080,"Kale o col rizada ",rollo,3,25,"AdrianaG,cate,Ursula",0
1081,Betabel pieza mediana,pz,2,15,"michell,IsabelR",0
1082,Perejil,rollo,1.5,20,"IsabelR,Gabi",0
1083,Arugula,kg,0.8000001,250,"ClaudiaGuichard,Xicotencatl502,Lauren,Ursula,Tania,Angela,Raquel",0.0
1092,Curcuma molida en frasco,pz,1,100,AdrianaG,0
1093,Romero deshidratado  (rinde 1 litro),pz,1.0,30.0,Raquel,0
1104,Brotes de girasol,paq,1,60,Catherine,0
1109,"Mix de 5 brotes (alfalfa, lenteja, mostaza, girasol y chicharo)",paq,4.5,65,"Bex,IsabelR,ClaudiaGuichard",0
1110,Masa Azul,kg,2,25,ClaudiaGuichard,0
1111,Tortillas Azules,kg,27.25,25,"Blanca,SraSalinas,EdnaFlores,Nicte,IsabelR,AdrianaG,Lorena,Elizabeth,ClaudiaGuichard,Laia,Lauren,Gabi,Tania,Monse1,Monse2,Alma,ivan",0
1112,Tortillas Rojas,kg,2,25,"Elizabeth,Laia",0
1114,Tostadas de sabores,paq,4,25,EdnaFlores,0
1115,"Totopo para chilaquiles ",bolsa,3,25,"Bex,Tania",0
1117,Te limon,rollo,3,20,"Lorena,Elizabeth",0
1120,Pulpa de mango congelada,kg,1,90,Bex,0
1121,Pulpa de piña congelada,kg,1,90,"Evelyne,Bex",0
1139,Pan de masa madre naturel integral o semillas,pz,3.0,50,"Mariana,Tania,Raquel",0.0
1140,Pan vida dulce integral o semillas,pz,2,45,"michell,kane",0
1145,Galletas de avena y chocolate,bolsa,1,35,AdrianaG,0
1150,baguette frances,pz,2,30,"kane,Monse2",0
1153,Pan de trigo integral: avena/linaza,pz,1,65,IsabelR,0
1157,Pan sin gluten: avena y linaza,pz,1,90,RoxanaM,0
1158,"Huevo natural docena ",pz,4.5,48,"Evelyne,Catherine,Lauren,Tania,Monse2",0
1159,Conchitas de amaranto,paq,1,22,Gabi,0
1160,Galletas sin gluten de ajonjoli,paq,1,22,RoxanaM,0
