Producto,Unidad,Cantidad,Precio unitario,Total
Rabano rollo de 7 piezas,rollo,1.0,15.0,15.0
Tonico facial rosas y colageno piel normal-sensible,ml,120.0,120.0,120.0
"Jabon hidratante leche de coco, avena y miel",pz,1.0,40.0,40.0
